case_id,case_number,incident_datetime,crime_type,status
CAS00001,CASE/00001,2026-01-22T20:40:57,Burglary,Under Investigation
CAS00002,CASE/00002,2026-01-23T20:40:57,Mobile Theft,Charge Sheet Filed
CAS00003,CASE/00003,2026-01-24T20:40:57,Financial Fraud,Pending Trial
CAS00004,CASE/00004,2026-01-25T20:40:57,Kidnapping,Registered
CAS00005,CASE/00005,2026-01-26T20:40:57,Chain Snatching,Under Investigation
CAS00006,CASE/00006,2026-01-27T20:40:57,Murder,Charge Sheet Filed
CAS00007,CASE/00007,2026-01-28T20:40:57,Drug Trafficking,Pending Trial
CAS00008,CASE/00008,2026-01-29T20:40:57,Online Scam,Registered
CAS00009,CASE/00009,2026-01-30T20:40:57,Assault,Under Investigation
CAS00010,CASE/00010,2026-01-31T20:40:57,Missing Person,Charge Sheet Filed
CAS00011,CASE/00011,2026-02-01T20:40:57,Identity Theft,Pending Trial
CAS00012,CASE/00012,2026-02-02T20:40:57,Robbery,Registered
CAS00013,CASE/00013,2026-02-03T20:40:57,Vehicle Theft,Under Investigation
CAS00014,CASE/00014,2026-02-04T20:40:57,Cyber Crime,Charge Sheet Filed
CAS00015,CASE/00015,2026-02-05T20:40:57,Burglary,Pending Trial
CAS00016,CASE/00016,2026-02-06T20:40:57,Mobile Theft,Registered
CAS00017,CASE/00017,2026-02-07T20:40:57,Financial Fraud,Under Investigation
CAS00018,CASE/00018,2026-02-08T20:40:57,Kidnapping,Charge Sheet Filed
CAS00019,CASE/00019,2026-02-09T20:40:57,Chain Snatching,Pending Trial
CAS00020,CASE/00020,2026-02-10T20:40:57,Murder,Registered
CAS00021,CASE/00021,2026-02-11T20:40:57,Drug Trafficking,Under Investigation
CAS00022,CASE/00022,2026-02-12T20:40:57,Online Scam,Charge Sheet Filed
CAS00023,CASE/00023,2026-02-13T20:40:57,Assault,Pending Trial
CAS00024,CASE/00024,2026-02-14T20:40:57,Missing Person,Registered
CAS00025,CASE/00025,2026-02-15T20:40:57,Identity Theft,Under Investigation
CAS00026,CASE/00026,2026-02-16T20:40:57,Robbery,Charge Sheet Filed
CAS00027,CASE/00027,2026-02-17T20:40:57,Vehicle Theft,Pending Trial
CAS00028,CASE/00028,2026-02-18T20:40:57,Cyber Crime,Registered
CAS00029,CASE/00029,2026-02-19T20:40:57,Burglary,Under Investigation
CAS00030,CASE/00030,2026-02-20T20:40:57,Mobile Theft,Charge Sheet Filed
